               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.038357,           0.0072541,                   0,             0.63799,             0.63754,             0.60553,             0.25591,            0.050066,           0.0096825,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.038038,           0.0071285,                   0,             0.62132,             0.63187,             0.59126,             0.24405,            0.050564,           0.0097211,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.038399,           0.0072939,                   0,             0.66226,             0.60194,             0.60156,             0.25996,            0.050447,            0.010013,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.037154,           0.0072249,                   0,             0.68066,             0.59871,             0.57585,             0.23655,            0.051733,           0.0097087,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.036848,           0.0072162,                   0,             0.65489,             0.64725,             0.58623,             0.25149,            0.050223,           0.0098324,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.036798,           0.0070611,                   0,             0.67213,             0.65372,             0.61133,             0.25411,            0.050812,           0.0092699,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.037199,           0.0072333,                   0,             0.66561,             0.61165,             0.58218,             0.25341,            0.051047,           0.0097896,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.036262,           0.0071089,                   0,             0.70585,             0.57605,             0.57499,             0.24848,            0.051908,           0.0092832,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.035893,           0.0070697,                   0,             0.67954,             0.61764,             0.58003,             0.25351,            0.050365,           0.0098724,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.036642,            0.007053,                   0,             0.63785,              0.6343,             0.58179,             0.24254,            0.050996,           0.0099819,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.036295,           0.0070107,                   0,             0.64054,             0.62783,             0.57491,             0.24858,            0.051149,           0.0095119,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.035276,            0.006868,                   0,             0.67584,             0.67314,             0.59324,             0.25603,            0.049812,            0.010104,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.035366,           0.0070084,                   0,             0.62984,             0.65372,             0.58123,             0.24698,            0.050212,            0.010205,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.035208,           0.0067699,                   0,             0.66153,              0.6246,             0.55332,             0.22048,            0.052255,           0.0099362,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.035378,           0.0068964,                   0,             0.62701,             0.60387,             0.53152,             0.23906,            0.051079,            0.010417,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.034715,            0.006936,                   0,             0.65286,             0.64078,             0.59136,             0.25689,            0.049196,            0.010119,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.034173,            0.006937,                   0,             0.61622,             0.64725,             0.56698,             0.24194,            0.049957,           0.0099508,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.034373,           0.0068085,                   0,             0.68278,             0.59207,             0.57621,             0.25905,            0.050473,           0.0098604,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.034383,           0.0067902,                   0,             0.66462,             0.57605,             0.57522,             0.25133,            0.051723,            0.010121,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.033853,           0.0068524,                   0,             0.64613,             0.64725,             0.58305,             0.24008,            0.050624,           0.0097917,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.032664,           0.0067868,                   0,             0.68192,             0.61489,             0.58745,             0.25327,            0.049545,            0.009961,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.033595,           0.0067631,                   0,             0.64788,             0.61332,             0.61115,             0.26026,            0.050588,           0.0098057,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.033125,           0.0065643,                   0,              0.6463,             0.66343,             0.57487,             0.23917,            0.051148,           0.0099481,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.032623,           0.0066181,                   0,             0.64139,              0.6246,             0.56436,              0.2397,            0.050457,            0.010238,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.032507,           0.0065836,                   0,             0.61632,             0.60518,             0.54352,             0.25076,            0.050147,            0.010141,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.032266,            0.006515,                   0,             0.60439,             0.67638,             0.57362,             0.25138,            0.050607,           0.0099339,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.031871,           0.0064634,                   0,             0.61183,             0.62741,             0.56282,             0.25042,             0.05031,           0.0098179,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.031511,           0.0064599,                   0,             0.67294,             0.66586,             0.57517,             0.25221,            0.049374,            0.010151,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.032184,           0.0066448,                   0,             0.63798,             0.68285,             0.58582,             0.25142,            0.049638,            0.010041,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.031107,           0.0065491,                   0,             0.67527,             0.66624,             0.57631,             0.25061,            0.049623,           0.0099858,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.031063,           0.0064928,                   0,             0.64454,             0.66019,             0.57444,               0.255,            0.050026,           0.0099373,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.031464,           0.0064409,                   0,              0.6255,             0.62701,             0.58029,             0.24475,             0.05067,            0.010127,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.031705,           0.0064396,                   0,             0.67116,             0.64731,             0.61563,             0.25917,            0.048328,            0.010051,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.031262,           0.0065537,                   0,             0.66658,             0.67638,             0.60314,             0.25696,            0.049178,           0.0097644,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.031164,           0.0065921,                   0,             0.67357,             0.63439,             0.59072,             0.24318,            0.050035,           0.0099502,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.03043,           0.0065041,                   0,             0.68251,             0.61812,             0.59518,             0.26149,            0.049162,            0.010134,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.030515,           0.0064804,                   0,             0.64442,             0.66863,             0.58176,             0.25382,            0.049437,           0.0099858,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.02996,           0.0063041,                   0,             0.66714,             0.64725,             0.54764,             0.22549,            0.050452,            0.010557,                   0,            0.007558,            0.007558,            0.007558
                  76,             0.03046,           0.0062376,                   0,             0.65028,             0.62783,             0.55272,             0.22679,             0.05089,            0.010031,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.029936,            0.006404,                   0,             0.68321,             0.62116,             0.60265,             0.25414,            0.049555,           0.0097307,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.029921,           0.0063348,                   0,               0.618,             0.67015,              0.6087,             0.26046,            0.049729,            0.010259,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.029674,            0.006268,                   0,             0.68019,             0.67638,             0.62503,             0.25595,             0.04976,           0.0098756,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.029196,           0.0061863,                   0,             0.63871,               0.698,             0.58824,             0.24711,            0.050073,            0.010133,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.029066,           0.0061702,                   0,             0.63331,             0.65696,              0.5906,             0.24953,            0.049259,           0.0099468,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.029319,           0.0063188,                   0,             0.64496,             0.69903,             0.57637,             0.24324,            0.049935,            0.010177,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.029115,           0.0061717,                   0,             0.60278,              0.7055,             0.58382,             0.25676,            0.048919,            0.010227,                   0,            0.007294,            0.007294,            0.007294
                  84,             0.02927,           0.0062412,                   0,             0.67958,             0.63107,             0.55375,             0.23072,            0.050333,            0.010563,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.028577,            0.006125,                   0,             0.68328,             0.61165,             0.59864,             0.24277,             0.05052,             0.01034,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.027978,           0.0060202,                   0,             0.62311,             0.68608,             0.58982,             0.25173,            0.049371,            0.010022,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.028107,           0.0061145,                   0,             0.64199,             0.67314,             0.59344,             0.26375,            0.048721,            0.010184,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.027866,           0.0062073,                   0,             0.69231,             0.67638,              0.5937,             0.25172,            0.050007,            0.010089,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.02772,           0.0060285,                   0,             0.68394,             0.67929,             0.59619,             0.24823,            0.049419,            0.010672,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.028443,           0.0060495,                   0,             0.64462,             0.62783,             0.57687,             0.25707,            0.049799,            0.010069,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.028131,           0.0060258,                   0,             0.62959,             0.68608,             0.61167,             0.24963,            0.049753,            0.010356,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.027877,           0.0059854,                   0,             0.67888,             0.67314,             0.60185,             0.27409,            0.048312,            0.010448,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.027823,           0.0060688,                   0,             0.64818,             0.65049,             0.58226,             0.24965,              0.0505,            0.010616,                   0,            0.006964,            0.006964,            0.006964
