                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.88529,                0.61515,                 1.0336,                0.73397,                0.64378,                0.72027,                0.32928,                 2.0672,                 1.1041,                 2.1322,               0.005215,               0.005215,               0.005215
                    147,                0.87855,                0.61843,                 1.0252,                0.73346,                0.65665,                 0.6911,                0.32373,                 2.0547,                 1.1573,                  2.167,               0.005182,               0.005182,               0.005182
                    148,                0.88322,                0.63739,                 1.0361,                0.72906,                0.66981,                0.67485,                0.32322,                 2.0688,                 1.1472,                 2.1593,               0.005149,               0.005149,               0.005149
                    149,                0.87529,                0.64028,                 1.0232,                0.77857,                0.63948,                0.70491,                0.33217,                 2.0282,                 1.1269,                 2.0932,               0.005116,               0.005116,               0.005116
                    150,                0.86284,                0.62043,                 1.0289,                0.74687,                0.66953,                0.72446,                0.33528,                   2.04,                 1.1147,                 2.0839,               0.005083,               0.005083,               0.005083
                    151,                0.86229,                0.61289,                 1.0252,                0.77654,                0.68605,                0.73073,                0.35474,                 1.9641,                 1.0905,                 2.0017,                0.00505,                0.00505,                0.00505
                    152,                0.86222,                0.60131,                 1.0213,                0.72528,                0.73391,                 0.7504,                0.36717,                 1.9894,                 1.0778,                 2.0086,               0.005017,               0.005017,               0.005017
                    153,                0.85544,                0.61069,                 1.0184,                0.77158,                0.66687,                0.72766,                0.34996,                 1.9817,                 1.1406,                 2.0106,               0.004984,               0.004984,               0.004984
                    154,                0.84931,                0.60884,                 1.0072,                0.76185,                 0.6824,                0.69036,                0.33387,                 1.9928,                 1.1335,                 2.0142,               0.004951,               0.004951,               0.004951
                    155,                0.84296,                0.58964,                 1.0139,                 0.7821,                0.64807,                0.69566,                0.34346,                  2.022,                 1.1777,                  2.045,               0.004918,               0.004918,               0.004918
                    156,                0.82195,                0.60626,                 1.0009,                0.79897,                0.64807,                0.72627,                 0.3622,                 2.0007,                 1.1623,                 2.0242,               0.004885,               0.004885,               0.004885
                    157,                0.83054,                0.59214,                 1.0029,                0.74961,                0.65665,                0.72667,                0.34924,                 2.0141,                 1.1433,                 2.0684,               0.004852,               0.004852,               0.004852
                    158,                0.81781,                0.58328,                 1.0008,                0.70335,                0.72248,                0.72443,                0.33687,                 2.0634,                 1.0773,                 2.1115,               0.004819,               0.004819,               0.004819
                    159,                0.80952,                0.59221,                0.99496,                0.74831,                0.68907,                0.73079,                0.33358,                 2.0486,                 1.0963,                 2.1021,               0.004786,               0.004786,               0.004786
                    160,                0.83401,                0.59898,                 1.0057,                0.74543,                0.69119,                0.71191,                 0.3388,                 2.0357,                 1.0884,                 2.1285,               0.004753,               0.004753,               0.004753
                    161,                0.80326,                0.58128,                0.99062,                0.73259,                0.68195,                0.70259,                0.34482,                 2.0376,                 1.1304,                 2.1062,                0.00472,                0.00472,                0.00472
                    162,                0.80891,                0.59643,                 0.9921,                0.75489,                0.64378,                0.67894,                0.33054,                 2.0508,                 1.1502,                 2.1309,               0.004687,               0.004687,               0.004687
                    163,                 0.8101,                0.58647,                 0.9962,                0.67136,                0.69099,                0.69679,                0.33876,                 2.0452,                 1.1506,                 2.1212,               0.004654,               0.004654,               0.004654
                    164,                0.80975,                0.60283,                0.99549,                 0.7222,                0.69528,                0.70685,                0.33411,                 2.0485,                 1.1367,                 2.1086,               0.004621,               0.004621,               0.004621
                    165,                0.80161,                0.58071,                0.99398,                0.69016,                0.72103,                 0.7098,                0.34653,                 2.0288,                 1.1641,                 2.1039,               0.004588,               0.004588,               0.004588
                    166,                0.80065,                0.58303,                0.98958,                0.73456,                0.70386,                0.70721,                 0.3445,                 2.0643,                   1.12,                 2.1428,               0.004555,               0.004555,               0.004555
                    167,                0.79005,                0.56669,                0.98627,                0.76056,                0.69528,                  0.735,                0.35494,                 2.0329,                 1.0958,                 2.1186,               0.004522,               0.004522,               0.004522
                    168,                0.78535,                 0.5792,                  0.992,                0.68395,                0.72103,                0.69156,                0.33816,                 2.0466,                 1.1653,                 2.1424,               0.004489,               0.004489,               0.004489
                    169,                0.78093,                0.56689,                0.97998,                 0.7054,                 0.6824,                0.68469,                0.33423,                 2.0369,                 1.1473,                 2.1011,               0.004456,               0.004456,               0.004456
                    170,                0.78649,                0.57551,                0.97773,                0.75091,                0.66094,                0.69249,                0.34683,                 2.0675,                  1.165,                 2.1308,               0.004423,               0.004423,               0.004423
                    171,                0.77651,                0.56672,                0.97652,                0.74781,                0.65236,                 0.6772,                0.33963,                 2.0677,                 1.1526,                 2.1203,                0.00439,                0.00439,                0.00439
                    172,                0.75189,                 0.5495,                0.97086,                0.72281,                 0.6491,                0.70278,                0.34386,                  2.045,                 1.1619,                  2.113,               0.004357,               0.004357,               0.004357
                    173,                0.74406,                0.54593,                0.96476,                0.74989,                0.69099,                0.73154,                 0.3537,                 2.0379,                 1.0972,                 2.1453,               0.004324,               0.004324,               0.004324
                    174,                0.75744,                0.54891,                0.97295,                 0.7321,                0.65679,                0.70649,                0.35373,                 2.0439,                 1.0755,                 2.1154,               0.004291,               0.004291,               0.004291
                    175,                0.75772,                0.55756,                0.97402,                0.72961,                0.66094,                0.71268,                0.35825,                 2.0684,                 1.0799,                 2.1568,               0.004258,               0.004258,               0.004258
                    176,                0.74293,                0.56014,                0.96851,                0.69174,                 0.7127,                0.71426,                0.35919,                 2.0516,                 1.0567,                 2.1695,               0.004225,               0.004225,               0.004225
                    177,                0.73822,                0.53696,                0.96925,                0.76536,                0.65236,                0.69617,                0.34041,                 2.0462,                 1.0905,                 2.2074,               0.004192,               0.004192,               0.004192
                    178,                0.76307,                0.56043,                0.97388,                0.75202,                0.64807,                 0.7237,                0.36258,                 2.0412,                 1.1024,                 2.1599,               0.004159,               0.004159,               0.004159
                    179,                0.73949,                0.54135,                0.95788,                0.66514,                0.71245,                0.69186,                0.34353,                 2.0529,                 1.1099,                 2.1664,               0.004126,               0.004126,               0.004126
                    180,                0.75195,                0.55994,                0.96477,                0.70967,                0.69528,                0.70639,                0.34573,                 2.0548,                 1.0786,                 2.1952,               0.004093,               0.004093,               0.004093
                    181,                0.75554,                 0.5628,                0.97539,                0.77131,                0.65139,                0.73435,                0.36692,                 2.0279,                 1.0998,                 2.1495,                0.00406,                0.00406,                0.00406
                    182,                0.74846,                0.55646,                0.96793,                0.71596,                0.70386,                0.72306,                0.35622,                 2.0157,                 1.1011,                 2.1453,               0.004027,               0.004027,               0.004027
                    183,                0.73217,                0.53845,                0.95401,                0.75347,                0.67811,                0.73386,                0.35308,                 2.0514,                 1.1261,                 2.1778,               0.003994,               0.003994,               0.003994
                    184,                0.75573,                0.56188,                0.97149,                 0.7646,                0.66524,                0.74276,                0.36228,                 2.0515,                 1.1472,                 2.1645,               0.003961,               0.003961,               0.003961
                    185,                0.74266,                0.53909,                0.95916,                0.72404,                0.67563,                0.73002,                0.36415,                 2.0515,                 1.1067,                  2.177,               0.003928,               0.003928,               0.003928
                    186,                0.72986,                0.55852,                 0.9627,                0.77043,                0.69099,                0.74397,                 0.3593,                 2.0408,                 1.1034,                 2.1626,               0.003895,               0.003895,               0.003895
                    187,                0.72066,                0.53429,                0.95374,                0.82133,                0.62232,                0.72941,                0.35505,                 2.0464,                  1.154,                 2.1991,               0.003862,               0.003862,               0.003862
                    188,                0.71837,                0.53915,                  0.956,                0.72865,                0.67382,                0.69419,                 0.3453,                 2.0685,                 1.1955,                 2.2139,               0.003829,               0.003829,               0.003829
                    189,                0.71749,                0.54222,                0.95395,                0.72724,                0.67515,                0.70019,                0.35054,                 2.0789,                 1.2124,                 2.2051,               0.003796,               0.003796,               0.003796
                    190,                0.73245,                0.55547,                0.96284,                0.72496,                0.67811,                0.71015,                0.35573,                 2.0882,                  1.147,                 2.2494,               0.003763,               0.003763,               0.003763
                    191,                0.72073,                0.52864,                0.95463,                0.77514,                0.65098,                0.71621,                0.34303,                  2.111,                 1.1025,                 2.2484,                0.00373,                0.00373,                0.00373
                    192,                0.73005,                0.53612,                0.95865,                0.76549,                0.67382,                0.71394,                0.34635,                 2.1073,                 1.0979,                 2.2806,               0.003697,               0.003697,               0.003697
                    193,                0.72369,                  0.535,                0.95864,                0.71037,                0.69099,                0.69359,                0.35012,                 2.0974,                  1.125,                 2.2453,               0.003664,               0.003664,               0.003664
                    194,                0.73024,                0.54395,                0.96199,                0.72021,                0.70815,                0.70584,                0.35633,                 2.0659,                 1.1115,                 2.2578,               0.003631,               0.003631,               0.003631
                    195,                0.69459,                0.51903,                0.94362,                 0.7116,                0.65236,                0.68873,                0.35479,                 2.0913,                 1.1266,                 2.2771,               0.003598,               0.003598,               0.003598
                    196,                0.71941,                0.52425,                0.95144,                0.71731,                0.65665,                0.66948,                0.34662,                 2.0709,                 1.1467,                 2.2374,               0.003565,               0.003565,               0.003565
                    197,                 0.6969,                0.53419,                0.94881,                0.71653,                0.67811,                0.70651,                0.35206,                 2.0781,                 1.1454,                 2.2066,               0.003532,               0.003532,               0.003532
                    198,                 0.7018,                0.52004,                0.94655,                0.69808,                 0.6867,                0.70021,                0.34772,                 2.0786,                 1.1145,                 2.2396,               0.003499,               0.003499,               0.003499
                    199,                0.71006,                0.51978,                0.94776,                0.73376,                0.67422,                 0.7062,                0.35399,                 2.0599,                 1.1108,                 2.1986,               0.003466,               0.003466,               0.003466
                    200,                0.68807,                0.51325,                0.94312,                0.73981,                0.66524,                0.71534,                 0.3589,                 2.0346,                 1.1029,                 2.1808,               0.003433,               0.003433,               0.003433
                    201,                0.69417,                 0.5214,                0.94301,                0.72816,                0.69528,                0.71075,                 0.3553,                 2.0513,                 1.0985,                 2.1839,                 0.0034,                 0.0034,                 0.0034
                    202,                0.68007,                 0.5185,                0.93945,                 0.7046,                0.67382,                0.71086,                0.35156,                 2.0659,                 1.1212,                 2.2216,               0.003367,               0.003367,               0.003367
