                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6082,                  1.318,                 1.4586,                0.68734,                0.60086,                 0.6185,                0.28072,                 1.7468,                 1.4709,                 1.5459,               0.008911,               0.008911,               0.008911
                     35,                  1.596,                  1.317,                 1.4494,                0.63897,                0.60515,                0.66744,                0.28453,                 1.7519,                 1.5185,                  1.614,               0.008878,               0.008878,               0.008878
                     36,                 1.5765,                 1.3448,                 1.4394,                0.66735,                0.63519,                0.62296,                0.27816,                 1.6914,                 1.4928,                 1.5284,               0.008845,               0.008845,               0.008845
                     37,                 1.5653,                 1.2662,                 1.4388,                0.66006,                0.57511,                0.58767,                0.27308,                 1.7199,                 1.4635,                 1.5702,               0.008812,               0.008812,               0.008812
                     38,                 1.5597,                 1.2768,                 1.4361,                0.69455,                0.58369,                0.64349,                0.29277,                 1.7105,                 1.4917,                 1.5566,               0.008779,               0.008779,               0.008779
                     39,                 1.5554,                 1.2523,                 1.4229,                0.64467,                0.60086,                0.63309,                0.27316,                   1.72,                 1.5058,                 1.5535,               0.008746,               0.008746,               0.008746
                     40,                 1.5436,                 1.2677,                 1.4057,                0.64808,                0.63948,                0.62059,                0.25884,                 1.7675,                 1.5355,                 1.5695,               0.008713,               0.008713,               0.008713
                     41,                 1.5505,                 1.2325,                 1.4095,                0.67549,                0.58798,                0.62922,                0.25339,                 1.7367,                 1.5345,                 1.5612,                0.00868,                0.00868,                0.00868
                     42,                 1.5409,                 1.2082,                 1.4148,                0.68379,                0.61373,                0.63227,                0.27151,                 1.7245,                 1.5101,                 1.5488,               0.008647,               0.008647,               0.008647
                     43,                 1.5132,                 1.1886,                 1.3874,                0.71017,                0.58369,                 0.6373,                0.27807,                 1.7535,                 1.5048,                 1.5812,               0.008614,               0.008614,               0.008614
                     44,                 1.5143,                 1.1585,                 1.3871,                0.64563,                0.60086,                0.63947,                 0.2888,                 1.7965,                 1.4869,                 1.6029,               0.008581,               0.008581,               0.008581
